MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_2975,6.74,[6.69:6.79],1,0.998,0.803
Molecule_2976,0.51,[0.51:0.54],1,0.998,0.857
Molecule_2977,0.91,[0.88:0.94],1,0.998,0.982
Molecule_2978,-0.89,[-0.92:-0.86],1,0.998,0.901
Molecule_2979,0.77,[-0.22:1.76],1,0.435,0.531
Molecule_2980,6.12,[3.06:8.23],1,0.426,0.1
Molecule_2981,1.32,[1.3:1.34],1,0.998,0.99
Molecule_2982,0.2,[-0.07:0.42],1,0.353,0.667
Molecule_2983,4.4,[3.17:5.63],0,0.357,0.414
Molecule_2984,-1.79,[-3.95:0.37],1,0.446,0.229
Molecule_2985,-2.31,[-4.21:-0.41],1,0.426,0.26
Molecule_2986,3.12,[2.59:3.65],1,0.598,0.661
Molecule_2987,0.49,[0.32:0.66],1,0.632,0.802
Molecule_2988,4.2,[2.29:6.11],0,0.448,0.295
Molecule_2989,-0,[-0.02:0],1,0.998,0.959
Molecule_2990,-0.12,[-0.53:0],0,0.578,0.63
Molecule_2991,0.94,[0.63:1.25],1,0.476,0.697
Molecule_2993,-0.52,[-0.59:-0.45],1,0.998,0.815
Molecule_2994,4.31,[4.28:4.34],1,0.998,0.957
Molecule_2995,-0.51,[-0.55:-0.47],1,0.998,0.943
Molecule_2996,3.31,[2.39:4.09],1,0.472,0.531
Molecule_2997,1.6,[1.56:1.64],1,0.998,0.96
Molecule_2998,-0.81,[-1.52:-0.05],1,0.585,0.64
Molecule_2999,3.05,[3.02:3.05],1,0.999,0.986
Molecule_3000,2.83,[2.81:2.83],1,0.998,0.857
Molecule_3001,-0.09,[-0.61:0.43],1,0.59,0.629
Molecule_3002,5.07,[4.96:5.07],1,0.998,0.736
Molecule_3003,-2.75,[-2.8:-2.7],1,0.998,0.859
Molecule_3004,1.98,[1.96:2],1,0.998,0.967
Molecule_3006,-0.63,[-3.17:1.91],1,0.262,0.105
Molecule_3007,3.83,[3.81:3.85],1,0.998,0.934
Molecule_3008,-3.2,[-3.21:-3.06],1,0.998,0.741
Molecule_3009,-2.85,[-2.93:-2.77],1,0.998,0.846
Molecule_3010,3.34,[3.31:3.37],1,0.998,0.963
Molecule_3011,-3.06,[-3.07:-2.91],1,0.998,0.757
Molecule_3012,3.6,[3.57:3.63],1,0.998,0.982
