Molecule name,RowID,Original_SMILES,Error
Molecule_11232,11232,CNC(C1C=CC(=CC=1)OC1OC(C)C(O)C(O)C1O)C(=O)NC1C(OC2OC(CO)C(O)C(O)C2O)C2C=CC(=CC=2)OC2C=C3C=C(OC4C=C(OC5CC(N)C(O)C(C)O5)C(CC5NC(=O)C(NC(=O)C3NC(=O)C(NC1=O)C1C=C(Cl)C(O)=CC=1)C1C=C(C3C(=CC(O)=CC=3O)C(NC5=O)C(O)=O)C(O)=CC=1)=CC=4Cl)C=2OC1OC(CO)C(O)C(O)C1OC1CC(N)C(O)C(C)O1, Size
Molecule_11579,11579,CCCCCCCCCCCC(CC(=O)OC1C(NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)C(OC(CO)C1OP(O)(O)=O)OCC1OC(O)C(O)C(NC(=O)CC(O)CCCCCCCCCCC)C1OC(=O)CC(O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC, Size
Molecule_12432,12432,CCCCC(NC(=O)C(CO)NC(=O)C(CC1C=CC(O)=CC=1)NC(=O)C(N)CO)C(=O)NC(CCC(O)=O)C(=O)NC(CC1=CNC=N1)C(=O)NC(CC1C=CC=CC=1)C(=O)NC(CCCNC(N)=N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)N1CCCC1C(=O)NC(C(C)C)C(N)=O, Size
Molecule_12824,12824,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].Cc1c(c(=O)[n](CC)c(O)c1N=NC1C=C(NC2=NC(Cl)=NC(NC3C=C(C(C=CC4=CC=C(C=C4S([O-])(=O)=O)NC4N=C(NC5C=C(N=Nc6c(=O)[n](CC)c(O)c(C(N)=O)c6C)C(=CC=5S([O-])(=O)=O)S([O-])(=O)=O)N=C(Cl)N=4)=CC=3)S([O-])(=O)=O)=N2)C(=CC=1S([O-])(=O)=O)S([O-])(=O)=O)C(N)=O, Size
Molecule_13448,13448,CC(C)CC(NC(=O)C1CSC(=N1)C(N)C(C)CC)C(=O)NC(CCC(O)=O)C(=O)NC(C(C)CC)C(=O)NC1CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(O)=O)NC(=O)C(CC2=CNC=N2)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)C(CCCN)NC1=O)C(C)CC, Size
Molecule_14539,14539,CC(=O)NC(CC1C=C2C=CC=CC2=CC=1)C(=O)NC(CC1C=CC(F)=CC=1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CO)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NCC(N)=O, Size
Molecule_14661,14661,CC(C)C1NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(O)=O)NC(=O)C(CO)NC(=O)C2CSSCC(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(N)=N)NC(=O)C(C)NC(=O)C(CCC(O)=O)NC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N2, Size
Molecule_14773,14773,CC(=O)NC(CC1C=C2C=CC=CC2=CC=1)C(=O)CC(C(=O)C(N)CC1C=CC(Cl)=CC=1)(C(=O)N(C(=O)C(CC1=CC=C(O)C=C1)NC)C(=O)C(CC(C)C)NC(=O)C(N)CCCCNC(=O)C1C=NC=CC=1)N(C(=O)C1CCCN1C(=O)C(N)CCCCNC(C)C)C(=O)C(CO)NC(=O)C(N)CC1C=NC=CC=1, Size
Molecule_15388,15388,CC(C)CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC(O)=O)NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1CCCN1C(=O)C(CC1=CC=CC=C1)NC(=O)C(CCC(O)=O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CN=CN1)NC(=O)C(CO)NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCCCN)NC(=O)C(CCC(O)=O)NC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCN)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)CNC(=O)C(CC1=CN=CN1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCCN)NC(=O)C(CCC(O)=O)NC(=O)C(CC1=CN=CN1)NC(=O)C(COP(O)(O)=O)NC(=O)C(N)CC(O)=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC(O)=O)C(=O)NC(CC(N)=O)C(O)=O, Size
Molecule_15805,15805,CC12CC(C)CC(CCCCCCCC(O)CC3OC(O)(CC(O)C(C)C=CC(O)CCC(O)C(O)C4CC(O)C(O)C(CC(O)C(O)CC5OC(CC(O)C=CC=CCC(O)C(O)C(O)CC=CC(=C)CCC(O)C(O)C(O)C(C)CC6OC(C=CC(O)C(O)CC7CC8CC(O7)C(CCC7OC(CN)CC7O)O8)C(O)C(O)C6O)C(O)C(O)C5O)O4)C(O)C(O)C3O)(O1)OC2CC(C)CCCCCC(O)C(O)C(O)C(O)C(O)C1OC(CC(O)C(O)C(C)=CC(O)CC(C)C(O)C(=O)N=CCC(=O)NCCCO)C(O)C(O)C1O, Size
