Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Organic nitrogen compounds,Amines,96,1,0.0,['67952-99-2'],"[""Octacosanoic acid, compd. with 1,1',1''-nitrilotris[2-propanol] (1:1)""]","[""Octacosanoic acid--1,1',1''-nitrilotri(propan-2-ol) (1/1)""]","1.81 [0.54, 2.48]",1.9425201968515444,0.36,,
Organic nitrogen compounds,Amines,96,1,0.0,['212716-69-3'],"['Trisodium;4-amino-5-hydroxy-6-[(2-hydroxy-4-nitrophenyl)diazenyl]naphthalene-1,7-disulfonate;chromium;(Z)-3-hydroxy-2-[(2-hydroxy-5-sulfamoylphenyl)diazenyl]-N-phenylbut-2-enamide']","['Chromium(3+) sodium 4-amino-6-[(E)-(4-nitro-2-oxidophenyl)diazenyl]-5-oxidonaphthalene-1,7-disulfonate 2-{(E)-[(2Z)-1-anilino-3-oxido-1-oxobut-2-en-2-yl]diazenyl}-4-sulfamoylphenolate (1/3/1/1)']","1.85 [-1.14, 2.52]",3.6656191319282425,0.6,,
Organic nitrogen compounds,Amines,96,1,0.0,['57108-69-7'],"['Chromate(2-), (3-((4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo)-2-hydroxy-5-nitrobenzenesulfonato(3-))(3-((4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo)-4-hydroxy-N-phenylbenzenesulfonamidato(2-))-, disodium']","['Chromium(3+) sodium 3-[(E)-(3-methyl-5-oxo-1-phenyl-4,5-dihydro-1H-pyrazol-4-id-4-yl)diazenyl]-5-nitro-2-oxidobenzene-1-sulfonate 2-[(E)-(3-methyl-5-oxo-1-phenyl-4,5-dihydro-1H-pyrazol-4-id-4-yl)diaze\nnyl]-4-(phenylsulfamoyl)phenolate (1/2/1/1)']","1.85 [0.50, 2.50]",2.004804303427492,0.48,,
Organic nitrogen compounds,Amines,96,1,0.0,['70209-87-9'],"['[2,4-Dihydro-4-[(2-hydroxy-4-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxy-5-nitrobenzenesulfonato(3-)]chromate(2-), disodium']","['Disodium [2-(hydroxy-kappaO)-3-{[3-methyl-5-(oxo-kappaO)-1-phenyl-4,5-dihydro-1H-pyrazol-4-yl]diazenyl-kappaN~1~}-5-nitrobenzene-1-sulfonato(3-)][4-{[2-(hydroxy-kappaO)-4-nitrophenyl]diazenyl-kappaN~1\n~}-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-onato(2-)-kappaO]chromate(2-)']","1.85 [0.76, 2.50]",1.7344297321651694,0.4,1.89,1.89
Organic nitrogen compounds,Amines,96,1,0.0,['346693-15-0'],['Tetrasodium;6-amino-3-[(5-nitro-2-oxido-3-sulfonatophenyl)diazenyl]-4-oxidonaphthalene-2-sulfonate;6-amino-4-oxido-3-[(2-oxido-5-sulfamoylphenyl)diazenyl]naphthalene-2-sulfonate;chromium(3+)'],[nan],"1.86 [-0.69, 2.52]",3.218779461579875,0.57,,
Organic nitrogen compounds,Amines,96,1,0.0,['75113-50-7'],"['Hexanoic acid, 6-[methyl(phenylsulfonyl)amino]-, compd. with N,N-dimethyl-1,3-propanediamine (1:1)']","['6-[(Benzenesulfonyl)(methyl)amino]hexanoic acid--N~1~,N~1~-dimethylpropane-1,3-diamine (1/1)']","1.86 [0.21, 2.64]",2.4340184474697084,0.64,,
Organic nitrogen compounds,Amines,96,1,0.0,['72017-66-4'],['72017-66-4 (name too long)'],[nan],"1.87 [-0.25, 2.55]",2.806642585546406,0.74,,
Organic nitrogen compounds,Amines,96,1,0.0,['185739-90-6'],"['Zirconium(4+) 2,2-bis{[(prop-2-en-1-yl)oxy]methyl}butan-1-olate 2-[2-(dimethylamino)ethoxy]ethan-1-olate (1/3/1)']","['Zirconium(4+) 2,2-bis{[(prop-2-en-1-yl)oxy]methyl}butan-1-olate 2-[2-(dimethylamino)ethoxy]ethan-1-olate (1/3/1)']","1.89 [-0.44, 2.76]",3.198079126389749,0.72,,
Organic nitrogen compounds,Amines,96,1,0.0,['67953-01-9'],"['Octacosanoic acid, compd. with 1-amino-2-propanol (1:1)']",['Octacosanoic acid--1-aminopropan-2-ol (1/1)'],"2.02 [0.15, 2.68]",2.5310063543758288,0.31,,
Organic nitrogen compounds,Amines,96,1,0.0,['70815-17-7'],"['Sodium hydrogen (2,4-dihydro-4-((2-hydroxy-5-nitrophenyl)azo)-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-))(2-hydroxy-3-((2-hydroxy-1-naphthyl)azo)-5-nitrobenzenesulphonato(3-))chromate(2-)']","['Chromium(3+) hydrogen sodium 2-[(3-methyl-5-oxo-1-phenyl-4,5-dihydro-1H-pyrazol-4-id-4-yl)diazenyl]-4-nitrophenolate 5-nitro-2-oxido-3-[(2-oxidonaphthalen-1-yl)diazenyl]benzene-1-sulfonate (1/1/1/1/1)']","2.03 [0.96, 2.72]",1.7662829756307734,0.42,,
Organic nitrogen compounds,Amines,96,1,0.0,['73507-67-2'],"['Cobaltate(1-), [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphthalenolato(2-)]-, sodium']",[nan],"2.03 [0.82, 2.66]",1.8355149903274584,0.48,,
Organic nitrogen compounds,Amines,96,1,0.0,['72928-84-8'],"['Chromate(1-), (1-(2-(2-(hydroxy-kappaO)-5-methyl-3-nitrophenyl)diazenyl-kappaN1)-2-naphthalenolato(2-)-kappaO)(1-(2-(2-(hydroxy-kappaO)-4-nitrophenyl)diazenyl-kappaN1)-2-naphthalenolato(2-)-kappaO)-, hydrogen (1:1)']",['Chromium(3+) hydrogen 1-[(E)-(5-methyl-3-nitro-2-oxidophenyl)diazenyl]naphthalen-2-olate 1-[(E)-(4-nitro-2-oxidophenyl)diazenyl]naphthalen-2-olate (1/1/1/1)'],"2.06 [0.85, 2.69]",1.8348570974867584,0.56,,
Organic nitrogen compounds,Amines,96,1,0.0,['97404-01-8'],"['Methyl acetate, compound with N,N-diethyl-4-((4-methyl-4H-1,2,4-triazol-3-yl)azo)aniline (1:1)']","['Methyl acetate--N,N-diethyl-4-[(E)-(4-methyl-4H-1,2,4-triazol-3-yl)diazenyl]aniline (1/1)']","2.07 [0.53, 3.05]",2.517824666034575,0.66,,
Organic nitrogen compounds,Amines,96,1,0.0,['79817-91-7'],"['Sodium [5-[2-(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)diazenyl]-4-(hydroxy-kappaO)-3-[2-[2-(hydroxy-kappaO)-3-nitro-5-sulfophenyl]diazenyl-kappaN1]-2,7-naphthalenedisulfonato(5-)]nickelate(3-) (1:3) (1:3)']","['Trisodium [4-(hydroxy-kappaO)-3-{[2-(hydroxy-kappaO)-3-nitro-5-sulfophenyl]diazenyl-kappaN~1~}-5-[(3-methyl-5-oxo-1-phenyl-4,5-dihydro-1H-pyrazol-4-yl)diazenyl]naphthalene-2,7-disulfonato(5-)]nickelat\ne(3-)']","2.39 [0.41, 3.16]",2.7541923190333057,0.61,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['5806-89-3'],"['(4-((4,6-Diamino-1,3,5-triazin-2-yl)amino)phenyl)arsonic acid']","['{4-[(4,6-Diamino-1,3,5-triazin-2-yl)amino]phenyl}arsonic acid']","0.65 [-1.19, 1.96]",3.1582858435476453,0.67,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['3599-28-8'],['Melarsen'],"['Disodium {4-[(4,6-diamino-1,3,5-triazin-2-yl)amino]phenyl}arsonate']","0.79 [-1.06, 2.08]",3.136694035642273,0.67,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['19651-91-3'],['Phenylamino cadmium dilactate'],[nan],"0.81 [-1.05, 2.02]",3.068676177034995,0.78,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['117266-31-6'],['Benefin-oryzalin mixt.'],"['4-(Dipropylamino)-3,5-dinitrobenzene-1-sulfonamide--N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline (1/1)']","0.87 [-0.56, 1.84]",2.406242516087528,0.37,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['111083-78-4'],"['1-Butanol, 2,2-bis[(2-propenyloxy)methyl]-, zirconium complex']",[nan],"0.92 [-0.91, 2.09]",3.004293993248806,0.79,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['536-29-8'],['Dichlorophenarsine hydrochloride [USP]'],['(3-Amino-4-hydroxyphenyl)arsonous dichloride--hydrogen chloride (1/1)'],"1.00 [-1.10, 2.14]",3.24524481552522,0.69,,
Benzenoids,Aniline and substituted anilines,43,0,0.0,['494-79-1'],"['(2-{4-[(4,6-Diamino-1,3,5-triazin-2-yl)amino]phenyl}-1,3,2-dithiarsolan-4-yl)methanol']","['(2-{4-[(4,6-Diamino-1,3,5-triazin-2-yl)amino]phenyl}-1,3,2-dithiarsolan-4-yl)methanol']","1.02 [-0.95, 2.15]",3.100370827838228,0.72,,
