Seed,Model,fold,MAE,MdAE,RMSE,R2,Algorithm,Features
7,XGB_cddd,8,0.5555316296670783,0.43961540431580315,0.7106521327763518,0.6040408345734383,XGB,CDDD embedding
7,XGB_cddd,9,0.5902965502484959,0.44039864832969844,0.7750805937508513,0.5534221264625365,XGB,CDDD embedding
7,XGB_maccs,0,0.4523132587274983,0.3530322588963264,0.5833591099706044,0.7265993325700093,XGB,MACCS fingerprint
7,XGB_maccs,1,0.5138471768854477,0.41125857444385083,0.6698719923475522,0.5930822989209381,XGB,MACCS fingerprint
7,XGB_maccs,2,0.5021860071455836,0.3785106244803136,0.690023357774154,0.6324987936875692,XGB,MACCS fingerprint
7,XGB_maccs,3,0.5249301253448304,0.39664840162775317,0.7229245982350124,0.579034909781962,XGB,MACCS fingerprint
7,XGB_maccs,4,0.4999442656369661,0.42208070177375223,0.6276205113200619,0.708800587497973,XGB,MACCS fingerprint
7,XGB_maccs,5,0.5223968261009473,0.3935990843162114,0.7027196049774684,0.6110968786329684,XGB,MACCS fingerprint
7,XGB_maccs,6,0.568889726724972,0.41897602553417457,0.7907337322250396,0.47566028497222,XGB,MACCS fingerprint
7,XGB_maccs,7,0.4997459902594367,0.3889093157212882,0.6741117088608692,0.6256477923068521,XGB,MACCS fingerprint
7,XGB_maccs,8,0.5286210780984534,0.405676255852077,0.7043278378878004,0.6110569815311945,XGB,MACCS fingerprint
7,XGB_maccs,9,0.5723970195435786,0.4251574482268632,0.7624102929223064,0.5679032731056439,XGB,MACCS fingerprint
7,XGB_morgan-512,0,0.5122874135367226,0.40381812013355756,0.6613018709871255,0.6486603983488984,XGB,MORGAN fingerprint
7,XGB_morgan-512,1,0.5186672282714152,0.4489713810571567,0.6447221081497766,0.6230636093159007,XGB,MORGAN fingerprint
7,XGB_morgan-512,2,0.5391516323890161,0.39330530523738005,0.7964591896058852,0.5103810256902022,XGB,MORGAN fingerprint
7,XGB_morgan-512,3,0.5628747032494078,0.42127503806654865,0.7534741072146914,0.5427046948213334,XGB,MORGAN fingerprint
7,XGB_morgan-512,4,0.5306861840193005,0.42222730944790454,0.673295900062065,0.6648739578506881,XGB,MORGAN fingerprint
7,XGB_morgan-512,5,0.54043838828182,0.46230550819529403,0.7031310555879827,0.6106413305857814,XGB,MORGAN fingerprint
7,XGB_morgan-512,6,0.6343454923931727,0.5082524479372663,0.8525683094084129,0.39044823524611594,XGB,MORGAN fingerprint
7,XGB_morgan-512,7,0.541410723732013,0.40130560435371376,0.7317961196742445,0.5588392543376195,XGB,MORGAN fingerprint
7,XGB_morgan-512,8,0.5628608594443957,0.4682330400903929,0.7263410931608876,0.5863647870742517,XGB,MORGAN fingerprint
7,XGB_morgan-512,9,0.5845912012362228,0.4207724993835611,0.79355360079949,0.5318812808173694,XGB,MORGAN fingerprint
7,XGB_rdkit,0,0.4487121888798622,0.38104138236216745,0.5907949312046817,0.7195850764597055,XGB,RDKIT descriptors
7,XGB_rdkit,1,0.5158983690734773,0.4278170641224426,0.6619169940225177,0.6026895347967609,XGB,RDKIT descriptors
7,XGB_rdkit,2,0.5095780829809035,0.37982143679953095,0.7400214730187938,0.5773120879616498,XGB,RDKIT descriptors
7,XGB_rdkit,3,0.5017719277222311,0.36244064763472483,0.7054968871767154,0.5990868685294329,XGB,RDKIT descriptors
7,XGB_rdkit,4,0.5058052953890994,0.4298949900006295,0.6483773803534019,0.689220797041816,XGB,RDKIT descriptors
7,XGB_rdkit,5,0.5488509598553096,0.4303633339256443,0.709899330090158,0.6031093922801241,XGB,RDKIT descriptors
7,XGB_rdkit,6,0.5549380835454553,0.4163722206511662,0.740399228171029,0.5402898036038015,XGB,RDKIT descriptors
7,XGB_rdkit,7,0.5012497420186262,0.36979334172314804,0.6853388938342703,0.6130744434087287,XGB,RDKIT descriptors
7,XGB_rdkit,8,0.5111400394930685,0.38894661335448943,0.6967975646441521,0.6193292384634945,XGB,RDKIT descriptors
