Seed,Model,fold,MAE,MdAE,RMSE,R2,Algorithm,Features
2,RF_morgan-512,2,0.4852772299331263,0.405321410849232,0.6731895696741076,0.38084152480448996,RF,MORGAN fingerprint
2,RF_morgan-512,3,0.4623015871423768,0.3709259399059355,0.6250002525000635,0.4164412897987162,RF,MORGAN fingerprint
2,RF_morgan-512,4,0.5152646147425269,0.38898783443052354,0.7636096297302429,0.2852147630385221,RF,MORGAN fingerprint
2,RF_morgan-512,5,0.4782973537670336,0.37892901107402266,0.6283657576895177,0.3676438636152026,RF,MORGAN fingerprint
2,RF_morgan-512,6,0.4662483402271294,0.3973157974319357,0.5928040490872127,0.4327778310264806,RF,MORGAN fingerprint
2,RF_morgan-512,7,0.47037694250290085,0.3686035940884165,0.6397207259642559,0.44775481638737047,RF,MORGAN fingerprint
2,RF_morgan-512,8,0.5186354638262958,0.3550790212734718,0.8628610773977216,0.21247516563306967,RF,MORGAN fingerprint
2,RF_morgan-512,9,0.49238452521143583,0.38912283106973566,0.662797001244528,0.4083895574345122,RF,MORGAN fingerprint
2,RF_rdkit,0,0.42005587971344494,0.31061090873094743,0.583779276091019,0.5156293355627495,RF,RDKIT descriptors
2,RF_rdkit,1,0.44658747703617446,0.364065031353064,0.5781568170589234,0.43197342108424597,RF,RDKIT descriptors
2,RF_rdkit,2,0.42239678936637287,0.3091933564014899,0.6105837077341014,0.49064861813611205,RF,RDKIT descriptors
2,RF_rdkit,3,0.4435636749489619,0.3644148182555724,0.5842689418902764,0.49002396010320515,RF,RDKIT descriptors
2,RF_rdkit,4,0.43243212407024867,0.3195690976905512,0.654666972237884,0.47461986973783155,RF,RDKIT descriptors
2,RF_rdkit,5,0.43558231629693883,0.320766400707013,0.5799860764884412,0.46126914247786754,RF,RDKIT descriptors
2,RF_rdkit,6,0.424711751517078,0.31539079553934535,0.5733661978467643,0.46936603439927815,RF,RDKIT descriptors
2,RF_rdkit,7,0.4207504994395999,0.32135179923041157,0.5849172082158487,0.5383212441370081,RF,RDKIT descriptors
2,RF_rdkit,8,0.4747052096989326,0.3374136868674933,0.7983029686938028,0.3259098381792087,RF,RDKIT descriptors
2,RF_rdkit,9,0.44747400669222703,0.32582599620970454,0.6146792756943398,0.49117094394480354,RF,RDKIT descriptors
2,SVM_cddd,0,0.4493446191018982,0.35337161037440445,0.6143761266211504,0.4635254200993918,SVM,CDDD embedding
2,SVM_cddd,1,0.42591945900469114,0.3300025716066357,0.5636631769969008,0.46009582692027595,SVM,CDDD embedding
2,SVM_cddd,2,0.4173793180665161,0.2986921925737511,0.5933993448682455,0.5189156932941144,SVM,CDDD embedding
2,SVM_cddd,3,0.4476783255090939,0.36782175755060287,0.5928549681415344,0.47492529461542743,SVM,CDDD embedding
2,SVM_cddd,4,0.4230841408155869,0.33718268445984445,0.6087316226271772,0.5457609075827783,SVM,CDDD embedding
2,SVM_cddd,5,0.42285184862806235,0.3000522595982198,0.5815868475180892,0.45829122668818634,SVM,CDDD embedding
2,SVM_cddd,6,0.40534558929698566,0.29283985174763827,0.5465402214360465,0.5178578165940134,SVM,CDDD embedding
2,SVM_cddd,7,0.41269771285793017,0.3088069957659836,0.5675796453487194,0.5652849071832151,SVM,CDDD embedding
2,SVM_cddd,8,0.47211342187945554,0.289596234913319,0.7788569474558474,0.3583504462983601,SVM,CDDD embedding
2,SVM_cddd,9,0.4392890026419325,0.3341469663418257,0.6009719482826741,0.5136116511638764,SVM,CDDD embedding
2,SVM_maccs,0,0.402023587755983,0.28242779024017906,0.569671653576344,0.5387570884888643,SVM,MACCS fingerprint
2,SVM_maccs,1,0.4405208742569757,0.3240430412417039,0.6013151572949921,0.3855569186858716,SVM,MACCS fingerprint
2,SVM_maccs,2,0.40880170774839253,0.27270453885977,0.6465467302749118,0.42888061064104177,SVM,MACCS fingerprint
2,SVM_maccs,3,0.43478643351953405,0.3047966752711613,0.6446319674321098,0.3792055193413819,SVM,MACCS fingerprint
2,SVM_maccs,4,0.45867762517821,0.31886924697345775,0.7171519777869232,0.3695434197948888,SVM,MACCS fingerprint
2,SVM_maccs,5,0.4351810142966139,0.31567766832367106,0.5854723123933958,0.4510289536114084,SVM,MACCS fingerprint
2,SVM_maccs,6,0.4400441452462808,0.35979334741107927,0.570144869506373,0.47531177884850195,SVM,MACCS fingerprint
2,SVM_maccs,7,0.43605000775292924,0.3567763418605887,0.6096658716584418,0.49842617676107837,SVM,MACCS fingerprint
2,SVM_maccs,8,0.4653647603287585,0.3306733193078064,0.8058383840800796,0.3131239078897228,SVM,MACCS fingerprint
2,SVM_maccs,9,0.4391860397840137,0.30430061985561796,0.6149107200979611,0.4907876942952575,SVM,MACCS fingerprint
2,SVM_morgan-512,0,0.4589049749683737,0.35171365588255554,0.6185101298171541,0.45628148910496624,SVM,MORGAN fingerprint
2,SVM_morgan-512,1,0.43769210932345876,0.35264533638375717,0.5718686463071303,0.444262211533645,SVM,MORGAN fingerprint
2,SVM_morgan-512,2,0.4667765329049753,0.3420541229426852,0.6705301295294954,0.38572384175336316,SVM,MORGAN fingerprint
2,SVM_morgan-512,3,0.45675562950170795,0.35505339955415405,0.6282943282560405,0.4102737648549942,SVM,MORGAN fingerprint
2,SVM_morgan-512,4,0.492809771203819,0.35554934763417645,0.7338075045551888,0.33991923291037773,SVM,MORGAN fingerprint
2,SVM_morgan-512,5,0.4582280384312674,0.3595355300782055,0.6058666481864723,0.4121171262096297,SVM,MORGAN fingerprint
2,SVM_morgan-512,6,0.45468030698739953,0.34436598511620775,0.5896413820482019,0.4388140564949917,SVM,MORGAN fingerprint
2,SVM_morgan-512,7,0.4861984950999747,0.3769890067327166,0.6655142644093769,0.4023239806620843,SVM,MORGAN fingerprint
2,SVM_morgan-512,8,0.486317584269877,0.35093434742911045,0.836473875354578,0.25990535218772537,SVM,MORGAN fingerprint
2,SVM_morgan-512,9,0.47787250014801425,0.3688548985800315,0.6599955924091664,0.41338004537160933,SVM,MORGAN fingerprint
2,SVM_rdkit,0,0.4215097003815322,0.3113113078895544,0.5782861259858384,0.5247019514252387,SVM,RDKIT descriptors
2,SVM_rdkit,1,0.4376669563241409,0.3273769974449461,0.5738200527370417,0.4404630153796829,SVM,RDKIT descriptors
2,SVM_rdkit,2,0.4094147470405157,0.26764368787747905,0.627995121720991,0.4611850894022389,SVM,RDKIT descriptors
2,SVM_rdkit,3,0.4590609683631916,0.35356217527036793,0.6240232921621378,0.41826422708499456,SVM,RDKIT descriptors
2,SVM_rdkit,4,0.40804622541259306,0.3058508627707983,0.6547665868453512,0.47445997312054833,SVM,RDKIT descriptors
2,SVM_rdkit,5,0.4319252320052234,0.33452685824702266,0.5785841954349825,0.4638703216220742,SVM,RDKIT descriptors
2,SVM_rdkit,6,0.43025617280922296,0.30486592272363633,0.5850002993547453,0.447613507702712,SVM,RDKIT descriptors
2,SVM_rdkit,7,0.4373828931665964,0.3667625113730386,0.5999629719305701,0.5142643384166135,SVM,RDKIT descriptors
2,SVM_rdkit,8,0.45892653631438407,0.3138131847704808,0.8018609161698941,0.31988775850592743,SVM,RDKIT descriptors
2,SVM_rdkit,9,0.45748581759269114,0.2933775659747111,0.6472899488071118,0.4357488042643719,SVM,RDKIT descriptors
2,XGB_cddd,0,0.47049352292484037,0.3344058279672739,0.6490158754518782,0.40132499643528263,XGB,CDDD embedding
2,XGB_cddd,1,0.4514094311563366,0.35238025051949173,0.5857667028307939,0.4169219157074816,XGB,CDDD embedding
2,XGB_cddd,2,0.4432866876290148,0.3429079142868521,0.6187956256375834,0.47685565510433314,XGB,CDDD embedding
2,XGB_cddd,3,0.462939398408314,0.35308878797153365,0.6292548480158022,0.4084692708199815,XGB,CDDD embedding
2,XGB_cddd,4,0.44539288377231967,0.3358219772449409,0.649781305170672,0.4824322525039395,XGB,CDDD embedding
2,XGB_cddd,5,0.4591668238603972,0.3356956449192574,0.6181901778032443,0.3879584346208236,XGB,CDDD embedding
2,XGB_cddd,6,0.4253959717380511,0.34234329311686285,0.5541278083209095,0.5043777852300146,XGB,CDDD embedding
2,XGB_cddd,7,0.43061432473514416,0.34548900805487825,0.5784462169414478,0.5484799249324013,XGB,CDDD embedding
2,XGB_cddd,8,0.4948218376435448,0.34112454305158835,0.8019729362409959,0.3196977217009769,XGB,CDDD embedding
